key,section,en,hi,or,notes
blog.section_desc,Blog,In-depth articles on Vedic astrology Tarot remedies and timing.,वैदिक ज्योतिष टैरो उपाय और शुभ समय पर गहन लेख।,ବୈଦିକ ଜ୍ୟୋତିଷ ଟାରୋ ଉପାୟ ଓ ଶୁଭ ସମୟ ଉପରେ ଗଭୀର ପ୍ରବନ୍ଧ।,
blog.view_all,Blog,View All Articles,सभी लेख देखें,ସମସ୍ତ ପ୍ରବନ୍ଧ ଦେଖନ୍ତୁ,
footer.tagline,Footer,Vedic · Tarot · Sacred Crystals,वैदिक · टैरो · पवित्र क्रिस्टल,ବୈଦିକ · ଟାରୋ · ପବିତ୍ର କ୍ରିଷ୍ଟାଲ୍,
footer.copyright,Footer,© 2026 Jyogi AI. All rights reserved.,© 2026 जयोगी AI. सर्वाधिकार सुरक्षित।,© 2026 ଜୟୋଗୀ AI. ସର୍ବାଧିକାର ସୁରକ୍ଷିତ।,
auto.confused_stuck_or_lost,Auto,"Confused, Stuck, or Lost?",उलझे हुए हैं? रास्ता यहाँ है।,"ବିଭ୍ରାନ୍ତ, ଅଟକି, କିମ୍ବା ହଜି ଯାଇଛନ୍ତି?",
auto.how_can_jyogi_help,Auto-migrated,How Can Jyogi Help?,"जयोगी कैसे मदद करेंगे? Vedic astrology, Tarot, Numerology, and sacred crystals — choose your path. वैदिक ज्योतिष, टैरो, अंकशास्त्र और पवित्र क्रिस्टल — अपना मार्ग चुनें।","ବୈଦିକ ଜ୍ୟୋତିଷ, ଟାରୋ, ଅଙ୍କଶାସ୍ତ୍ର ଓ ପବିତ୍ର କ୍ରିଷ୍ଟାଲ୍ — ଆପଣଙ୍କ ମାର୍ଗ ବାଛନ୍ତୁ।",
auto.free_kundali_with_lagna_naks,Auto-migrated,"Free Kundali with Lagna, Nakshatra, Dasha & Sadhe Sati. Powered by Swiss Ephemeris.","लग्न, नक्षत्र, दशा और साढ़े-साती के साथ निःशुल्क कुंडली।","ଲଗ୍ନ, ନକ୍ଷତ୍ର, ଦଶା ଓ ସାଢ଼େ-ସାତୀ ସହିତ ନିଃଶୁଳ୍କ କୁଣ୍ଡଳୀ।",
auto.draw_your_cards_instantly_si,Auto-migrated,"Draw your cards instantly. Single card, Past-Present-Future, Celtic Cross, Love & Career spreads.","तुरंत कार्ड खींचें। सिंगल, अतीत-वर्तमान-भविष्य, सेल्टिक क्रॉस।","ତୁରନ୍ତ କାର୍ଡ ଟାଣନ୍ତୁ। ଏକକ, ଅତୀତ-ବର୍ତ୍ତମାନ-ଭବିଷ୍ୟତ, ସେଲ୍ଟିକ୍ କ୍ରସ୍।",
auto.discover_your_life_path_numb,Auto-migrated,"Discover your life path number, lucky numbers, and personal year cycle from your date of birth.",अपने जन्म तिथि से जीवन पथ अंक और शुभ अंक जानें।,ଆପଣଙ୍କ ଜନ୍ମ ତାରିଖରୁ ଜୀବନ ପଥ ଅଙ୍କ ଓ ଶୁଭ ଅଙ୍କ ଜାଣନ୍ତୁ।,
auto.hand_cleansed_bracelets_pres,Auto-migrated,Hand-cleansed bracelets prescribed by planet and chakra. 16 sacred combinations.,हस्त-शुद्ध क्रिस्टल कंगन — ग्रह और चक्र के अनुसार निर्धारित।,ହସ୍ତ-ଶୁଦ୍ଧ କ୍ରିଷ୍ଟାଲ୍ କଙ୍ଗନ — ଗ୍ରହ ଓ ଚକ୍ର ଅନୁସାରେ ନିର୍ଦ୍ଧାରିତ।,
auto.each_reading_is_powered_by_a,Auto-migrated,"Each reading is powered by ancient Vedic wisdom and AI precision — deeply personal, always accurate.","हर रीडिंग प्राचीन वैदिक ज्ञान और AI की सटीकता पर आधारित — गहराई से व्यक्तिगत, हमेशा सटीक।","ପ୍ରତ୍ୟେକ ରିଡିଂ ପ୍ରାଚୀନ ବୈଦିକ ଜ୍ଞାନ ଓ AI ସଠିକତା ଉପରେ ଆଧାରିତ — ଗଭୀର ଭାବେ ବ୍ୟକ୍ତିଗତ, ସର୍ବଦା ସଠିକ।",
auto.love_amp_relationship_match,Auto-migrated,Love & Relationship Match,प्रेम एवं संबंध मिलान,ପ୍ରେମ ଓ ସମ୍ପର୍କ ମିଳନ,
auto.enter_both_birth_dates_for_a,Auto-migrated,"Enter both birth dates for a Vedic compatibility reading — Moon sign Kuta, Nakshatra match, and Dasha harmony.","वैदिक गुण मिलान के लिए दोनों जन्म तिथियाँ भरें — चंद्र राशि कूट, नक्षत्र मिलान और दशा सामंजस्य।","ବୈଦିକ ଗୁଣ ମିଳନ ପାଇଁ ଉଭୟ ଜନ୍ମ ତାରିଖ ଦିଅନ୍ତୁ — ଚନ୍ଦ୍ର ରାଶି କୂଟ, ନକ୍ଷତ୍ର ମିଳନ ଓ ଦଶା ସମନ୍ୱୟ।",
auto.your_dreams_carry_hidden_mes,Auto-migrated,Your dreams carry hidden messages. Record yours and receive a Tarot card — or let Jyogi interpret the deeper meaning.,आपके सपनों में छिपे संदेश होते हैं। अपना सपना दर्ज करें और एक टैरो कार्ड पाएँ — या जयोगी से गहरा अर्थ जानें।,ଆପଣଙ୍କ ସ୍ୱପ୍ନରେ ଲୁକ୍କାୟିତ ସନ୍ଦେଶ ଥାଏ। ଆପଣଙ୍କ ସ୍ୱପ୍ନ ଲେଖନ୍ତୁ ଓ ଗୋଟିଏ ଟାରୋ କାର୍ଡ ପାଆନ୍ତୁ — କିମ୍ବା ଜୟୋଗୀଙ୍କଠାରୁ ଗଭୀର ଅର୍ଥ ଜାଣନ୍ତୁ।,
auto.vedic_panchang_for_the_next_,Auto-migrated,"Vedic panchang for the next 7 days — tap a day to see what's auspicious for marriage, travel, business, and more.","अगले 7 दिनों का वैदिक पंचांग — किसी दिन पर टैप करें और जानें विवाह, यात्रा, व्यापार आदि के लिए शुभ समय।","ଆଗାମୀ ୭ ଦିନର ବୈଦିକ ପଞ୍ଚାଙ୍ଗ — କୌଣସି ଦିନ ଉପରେ ଟ୍ୟାପ୍ କରନ୍ତୁ ଓ ବିବାହ, ଯାତ୍ରା, ବ୍ୟବସାୟ ଆଦି ପାଇଁ ଶୁଭ ସମୟ ଜାଣନ୍ତୁ।",
auto.each_bracelet_is_hand_select,Auto-migrated,"Each bracelet is hand-selected, cleansed under the full moon, and charged with planetary mantras. Order via WhatsApp for personalised guidance.","हर ब्रेसलेट हाथ से चुना जाता है, पूर्णिमा पर शुद्ध किया जाता है और ग्रह मंत्रों से अभिमंत्रित। व्यक्तिगत मार्गदर्शन के लिए WhatsApp पर ऑर्डर करें।","ପ୍ରତ୍ୟେକ ବ୍ରେସଲେଟ୍ ହାତରେ ବଛାଯାଏ, ପୂର୍ଣ୍ଣିମାରେ ଶୁଦ୍ଧ କରାଯାଏ ଓ ଗ୍ରହ ମନ୍ତ୍ରରେ ଅଭିମନ୍ତ୍ରିତ। ବ୍ୟକ୍ତିଗତ ମାର୍ଗଦର୍ଶନ ପାଇଁ WhatsApp ରେ ଅର୍ଡର କରନ୍ତୁ।",
auto.confused_stuck_searching_for,Auto-migrated,Confused. Stuck. Searching for answers. Here's what happened after their reading.,उलझन। ठहराव। उत्तरों की तलाश। देखिए उनकी रीडिंग के बाद क्या हुआ।,ଦ୍ୱନ୍ଦ୍ୱ। ଅଚଳାବସ୍ଥା। ଉତ୍ତରର ସନ୍ଧାନ। ଦେଖନ୍ତୁ ସେମାନଙ୍କ ରିଡିଂ ପରେ କଣ ହେଲା।,
auto.we_begin_every_reading_with_,Auto-migrated,We begin every reading with a prayer to the divine. May these sacred energies guide your path.,हम हर रीडिंग की शुरुआत ईश्वर की प्रार्थना से करते हैं। ये पवित्र ऊर्जाएँ आपके मार्ग को आलोकित करें।,ଆମେ ପ୍ରତ୍ୟେକ ରିଡିଂ ଈଶ୍ୱରଙ୍କ ପ୍ରାର୍ଥନାରୁ ଆରମ୍ଭ କରୁ। ଏହି ପବିତ୍ର ଶକ୍ତି ଆପଣଙ୍କ ମାର୍ଗକୁ ଆଲୋକିତ କରୁ।,
auto.vedic_wisdom_amp_guides,Auto-migrated,Vedic Wisdom & Guides,वैदिक ज्ञान एवं मार्गदर्शिका,ବୈଦିକ ଜ୍ଞାନ ଓ ମାର୍ଗଦର୍ଶିକା,
auto.in_depth_articles_on_vedic_a,Auto-migrated,"In-depth articles on Vedic astrology, Tarot, remedies, and timing — written by Jyogi from 20+ years of practice.","वैदिक ज्योतिष, टैरो, उपाय और शुभ समय पर गहन लेख — जयोगी द्वारा 20+ वर्षों के अनुभव से लिखित।","ବୈଦିକ ଜ୍ୟୋତିଷ, ଟାରୋ, ଉପାୟ ଓ ଶୁଭ ସମୟ ଉପରେ ଗଭୀର ପ୍ରବନ୍ଧ — ଜୟୋଗୀଙ୍କ ୨୦+ ବର୍ଷର ଅଭିଜ୍ଞତାରୁ।",
auto.view_all_articles,Auto-migrated,VIEW ALL ARTICLES,सभी लेख देखें,ସମସ୍ତ ପ୍ରବନ୍ଧ ଦେଖନ୍ତୁ,
auto.book_your_reading,Auto-migrated,Book Your Reading,अभी बुक करें,ବର୍ତ୍ତମାନ ବୁକ୍ କରନ୍ତୁ,
hero.free_tarot,Hero,Free Tarot,निःशुल्क टैरो,ନିଃଶୁଳ୍କ ଟାରୋ,
hero.free_tarot_sub,Hero,Draw your cards now,अभी अपने कार्ड खींचें,ବର୍ତ୍ତମାନ ଆପଣଙ୍କ କାର୍ଡ ଟାଣନ୍ତୁ,
hero.free_chart,Hero,Free Birth Chart,निःशुल्क कुंडली,ନିଃଶୁଳ୍କ କୁଣ୍ଡଳୀ,
hero.free_chart_sub,Hero,Vedic · Swiss Ephemeris,वैदिक · स्विस एफेमेरिस,ବୈଦିକ · ସ୍ୱିସ୍ ଏଫେମେରିସ୍,
